Time resolution is 1 ps
t=             1900000, clk=0, reset=0, enable=1, we=0, wra=1e, wrd=  0, t1attempts=01f, t1fails=000, t2attempts=000, t2fails=000
t=             1910000, clk=1, reset=0, enable=1, we=0, wra=1e, wrd=  0, t1attempts=01f, t1fails=000, t2attempts=000, t2fails=000
t=             1920000, clk=0, reset=0, enable=1, we=1, wra=1f, wrd=  0, t1attempts=020, t1fails=000, t2attempts=000, t2fails=000
t=             1930000, clk=1, reset=0, enable=1, we=1, wra=1f, wrd=  0, t1attempts=020, t1fails=000, t2attempts=000, t2fails=000
t=             1940000, clk=0, reset=0, enable=1, we=0, wra=1f, wrd=  0, t1attempts=020, t1fails=000, t2attempts=000, t2fails=000
t=             1950000, clk=1, reset=0, enable=1, we=0, wra=1f, wrd=  0, t1attempts=020, t1fails=000, t2attempts=000, t2fails=000
t=             1960000, clk=0, reset=0, enable=1, we=0, wra=1f, wrd=  0, t1attempts=020, t1fails=000, t2attempts=000, t2fails=000
t=             1970000, clk=1, reset=0, enable=1, we=0, wra=1f, wrd=  0, t1attempts=020, t1fails=000, t2attempts=000, t2fails=000
t=             1980000, clk=0, reset=0, enable=1, we=1, wra=20, wrd=  0, t1attempts=021, t1fails=000, t2attempts=000, t2fails=000
t=             1990000, clk=1, reset=0, enable=1, we=1, wra=20, wrd=  0, t1attempts=021, t1fails=000, t2attempts=000, t2fails=000
t=             2000000, clk=0, reset=0, enable=1, we=0, wra=20, wrd=  0, t1attempts=021, t1fails=000, t2attempts=000, t2fails=000
t=             2010000, clk=1, reset=0, enable=1, we=0, wra=20, wrd=  0, t1attempts=021, t1fails=000, t2attempts=000, t2fails=000
t=             2020000, clk=0, reset=0, enable=1, we=0, wra=20, wrd=  0, t1attempts=021, t1fails=000, t2attempts=000, t2fails=000
t=             2030000, clk=1, reset=0, enable=1, we=0, wra=20, wrd=  0, t1attempts=021, t1fails=000, t2attempts=000, t2fails=000
